Committee,Subcommittee,Chair,Ranking Member,Chair Party,Ranking Member Party
Environment and Public Works,"Chemical Safety, Waste Management, Environmental Justice and Regulatory Oversight",Jeff Merkley,Roger Wicker,D,R
Environment and Public Works,"Clean Air, Climate and Nuclear Safety",Ed Markey,,D,
Environment and Public Works,"Fisheries, Water and Wildlife",Tammy Duckworth,Cynthia Lummis,D,R
Environment and Public Works,Transportation and Infrastructure,Ben Cardin,Kevin Cramer,D,R
Ethics,,Michael Guest,Susan Wild,R,D
Ethics ,,Chris Coons,James Lankford,D,R
Finance,,Ron Wyden,Mike Crapo,D,R
Finance,"Energy, Natural Resources and Infrastructure",Michael Bennet,James Lankford,D,R
Finance,Fiscal Responsibility and Economic Growth,Elizabeth Warren,Bill Cassidy,D,R
Finance,Health Care,Debbie Stabenow,Steve Daines,D,R
Finance,"International Trade, Customs and Global Competitiveness",Tom Carper,John Cornyn,D,R
Finance,"Social Security, Pensions and Family Policy",Sherrod Brown,Todd Young,D,R
Finance,Taxation and IRS Oversight,Sheldon Whitehouse,John Thune,D,R
Financial Services,,Patrick McHenry,Maxine Waters,R,D
Financial Services,Artificial Intelligence ,,Bill Foster,,D
Financial Services,Consumer Protection and Financial Institutions,Blaine Luetkemeyer,,R,
Financial Services,Diversity and Inclusion,Ann Wagner,Joyce Beatty,R,D
Financial Services,Financial Technology ,Warren Davidson,Stephen Lynch,R,D
Financial Services,"Housing, Community Development and Insurance",French Hill,Emanuel Cleaver,R,D
Financial Services,"Investor Protection, Entrepreneurship and Capital Markets",Bill Huizenga,Brad Sherman,R,D
Financial Services,"National Security, International Development and Monetary Policy",Andy Barr,Jim Himes,R,D
Financial Services,Oversight and Investigations,Tom Emmer,Al Green,R,D
Foreign Affairs,,Mike McCaul,Gregory Meeks,R,D
Foreign Affairs,"Africa, Global Health, Global Human Rights and International Organizations",Chris Smith,,R,
Foreign Affairs,"Asia, the Pacific, Central Asia and Nonproliferation",,Ami Bera,,D
Foreign Affairs,"Europe, Energy, the Environment and Cyber",Brian Fitzpatrick,Bill Keating,R,D
Foreign Affairs,"International Development, International Organizations and Global Corporate Social Impact",Nicole Malliotakis,Joaquin Castro,R,D
Foreign Affairs,"Middle East, North Africa and Global Counterterrorism",Joe Wilson,David Cicilline,R,D
Foreign Affairs,"Western Hemisphere, Civilian Security, Migration and International Economic Policy",Mark Green,,R,
Foreign Relations,,Bob Menendez,Jim Risch,D,R
Foreign Relations,Africa and Global Health Policy,Chris Van Hollen,Mike Rounds,D,R
Foreign Relations,"East Asia, the Pacific and International Cybersecurity Policy",Ed Markey,Mitt Romney,D,R
Foreign Relations,Europe and Regional Security Cooperation,Jeanne Shaheen,Ron Johnson,D,R
Foreign Relations,"Multilateral International Development, Multilateral Institutions and International Economic, Energy and Environmental Policy",Chris Coons,,D,
Foreign Relations,"Near East, South Asia, Central Asia and Counterterrorism",Chris Murphy,Todd Young,D,R
Foreign Relations,"State Department and USAID Management, International Operations and Bilateral International Development",Ben Cardin,Bill Hagerty,D,R
Foreign Relations,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights and Global Women's Issues",Tim Kaine,Marco Rubio,D,R
"Health, Education, Labor and Pensions",,Bernie Sanders,Bill Cassidy,I,R
"Health, Education, Labor and Pensions",Children and Families,Bob Casey,Bill Cassidy,D,R
"Health, Education, Labor and Pensions",Employment and Workplace Safety,John Hickenlooper,Mike Braun,D,R
"Health, Education, Labor and Pensions",Primary Health and Retirement Security,Bernie Sanders,Susan Collins,I,R
Homeland Security,,Mark Green,Bennie Thompson,R,D
Homeland Security,"Border Security, Facilitation and Operations",Clay Higgins,Nanette BarragÃ¡n,R,D
Homeland Security,"Cybersecurity, Infrastructure Protection and Innovation",Andrew Garbarino,Yvette Clarke,R,D
Homeland Security,"Emergency Preparedness, Response and Recovery",Kat Cammack,,R,
Homeland Security,Intelligence and Counterterrorism,August Pfluger,Elissa Slotkin,R,D
Homeland Security,"Oversight, Management and Accountability",,Lou Correa,,D
Homeland Security,Transportation and Maritime Security,Carlos Gimenez,Bonnie Watson Coleman,R,D
Homeland Security and Governmental Affairs,,Gary Peters,Rand Paul,D,R
Homeland Security and Governmental Affairs,Emerging Threats and Spending Oversight,Maggie Hassan,,D,
Homeland Security and Governmental Affairs,Government Operations and Border Management,Kyrsten Sinema,James Lankford,I,R
Homeland Security and Governmental Affairs,Investigations ,Jon Ossoff,Ron Johnson,D,R
House Administration,,Bryan Steil,Joe Morelle,R,D
House Administration,Congressional Mailing Commission ,Kat Cammack,Mary Gay Scanlon,R,D
House Administration,Elections,Bryan Steil,,R,
Indian Affairs ,,Brian Schatz,Lisa Murkowski,D,R
Intelligence ,,Mike Turner,Jim Himes,R,D
Intelligence ,"Counterterrorism, Counterintelligence and Counterproliferation",Rick Crawford,AndrÃ© Carson,R,D
Intelligence ,Defense Intelligence and Warfighter Support,Brad Wenstrup,,R,
Intelligence ,Intelligence Modernization and Readiness,,,,
Intelligence ,Strategic Technologies and Advanced Research,Chris Stewart,,R,
Intelligence ,,Mark Warner,Marco Rubio,D,R
International Narcotics Control ,,Sheldon Whitehouse,John Cornyn,D,R
Judiciary,,Jim Jordan,Jerry Nadler,R,D
Judiciary,"Antitrust, Commercial and Administrative Law",Thomas Massie,David Cicilline,R,D
Judiciary,"Constitution, Civil Rights and Civil Liberties",Mike Johnson,Steve Cohen,R,D
Judiciary,"Courts, Intellectual Property and the Internet",Darrell Issa,Hank Johnson,R,D
Judiciary,"Crime, Terrorism and Homeland Security",Andy Biggs,Sheila Jackson Lee,R,D
Judiciary,Immigration and Citizenship,Tom McClintock,Zoe Lofgren,R,D
Judiciary,Weaponization of the Federal Government ,Jim Jordan,Stacey Plaskett,R,D
Judiciary,,Dick Durbin,Lindsey Graham,D,R
Judiciary,"Competition Policy, Antitrust and Consumer Rights",Amy Klobuchar,Mike Lee,D,R
Judiciary,The Constitution,Richard Blumenthal,Ted Cruz,D,R
Judiciary,Crime and Terrorism,Cory Booker,Tom Cotton,D,R
Judiciary,"Federal Courts, Oversight, Agency Action and Federal Rights",Sheldon Whitehouse,John Kennedy,D,R
Judiciary,Human Rights and the Law,Dianne Feinstein,Josh Hawley,D,R
Judiciary,"Immigration, Citizenship and Border Safety",Alex Padilla,John Cornyn,D,R
Judiciary,Intellectual Property,,Thom Tillis,,R
Judiciary,"Privacy, Technology and the Law",Chris Coons,Ben Sasse,D,R
Natural Resources,,Bruce Westerman,RaÃºl Grijalva,R,D
Natural Resources,Energy and Mineral Resources,Peter Stauber,,R,
Natural Resources,Indigenous Peoples of the United States,Jay Obernolte,Teresa Leger Fernandez,R,D
Natural Resources,"National Parks, Forests and Public Lands",Russ Fulcher,Joe Neguse,R,D
Natural Resources,Oversight and Investigations,Blake Moore,Katie Porter,R,D
Natural Resources,"Water, Oceans and Wildlife",Cliff Bentz,Jared Huffman,R,D
Oversight and Accountability,,Jim Comer,Jamie Raskin,R,D
Oversight and Accountability,Coronavirus Pandemic ,Brad Wenstrup,Raul Ruiz,R,D
Oversight and Accountability,Economic and Consumer Policy,Michael Cloud,Raja Krishnamoorthi,R,D
Oversight and Accountability,Environment,Ralph Norman,Ro Khanna,R,D
Oversight and Accountability,Government Operations,,Gerry Connolly,,D
Oversight and Accountability,National Security,Glenn Grothman,Stephen Lynch,R,D
Rules,,Tom Cole,Jim McGovern,R,D
Rules,Expedited Procedures,Michelle Fischbach,Jamie Raskin,R,D
Rules,Legislative and Budget Process,Michael Burgess,Joe Morelle,R,D
Rules,Rules and Organization of the House,Guy Reschenthaler,Norma Torres,R,D
Rules and Administration,,Amy Klobuchar,Deb Fischer,D,R
"Science, Space, and Technology",,Frank Lucas,Zoe Lofgren,R,D
"Science, Space, and Technology",Energy,Randy Weber,Jamaal Bowman,R,D
"Science, Space, and Technology",Environment,Stephanie Bice,Mikie Sherrill,R,D
"Science, Space, and Technology",Investigations and Oversight,Jay Obernolte,Bill Foster,R,D
"Science, Space, and Technology",Research and Technology,Randy Feenstra,Haley Stevens,R,D
"Science, Space, and Technology",Space and Aeronautics,Brian Babin,Don Beyer,R,D
Small Business,,Roger Williams,Nydia VelÃ¡zquez,R,D
Small Business,Contracting and Infrastructure,Maria Salazar,Kweisi Mfume,R,D
Small Business,"Economic Growth, Tax and Capital Access",Dan Meuser,Sharice Davids,R,D
Small Business,"Innovation, Entrepreneurship, and Workforce Development",Young Kim,Jason Crow,R,D
Small Business,"Investigations, Oversight and Regulations",Beth Van Duyne,Dean Phillips,R,D
Small Business,"Underserved, Agricultural and Rural Business Development",Claudia Tenney,Jared Golden,R,D
Small Business and Entrepreneurship,,Ben Cardin,Joni Ernst,D,R
Strategic Competition between the United States and the Chinese Communist Party ,,Mike Gallagher,Raja Krishnamoorthi,R,D
Tom Lantos Human Rights Commission,,Chris Smith,Jim McGovern,R,D
Transportation and Infrastructure,,Sam Graves,Rick Larsen,R,D
Transportation and Infrastructure,Aviation,Garret Graves,Rick Larsen,R,D
Transportation and Infrastructure,Coast Guard and Maritime Transportation,Bob Gibbs,Salud Carbajal,R,D
Transportation and Infrastructure,"Economic Development, Public Buildings and Emergency Management",Daniel Webster,Dina Titus,R,D
Transportation and Infrastructure,Highways and Transit,,Eleanor Holmes Norton,,D
Transportation and Infrastructure,"Railroads, Pipelines and Hazardous Materials",Rick Crawford,Donald Payne Jr.,R,D
Transportation and Infrastructure,Water Resources and Environment,David Rouzer,Grace Napolitano,R,D
Veterans' Affairs,,Mike Bost,Mark Takano,R,D
Veterans' Affairs,Disability Assistance and Memorial Affairs,Troy Nehls,,R,
Veterans' Affairs,Economic Opportunity,Barry Moore,Mike Levin,R,D
Veterans' Affairs,Health,Jack Bergman,Julia Brownley,R,D
Veterans' Affairs,Oversight and Investigations,Tracey Mann,Chris Pappas,R,D
Veterans' Affairs,Technology Modernization,Matt Rosendale,Frank Mrvan,R,D
Veterans' Affairs,,Jon Tester,Jerry Moran,D,R
Ways and Means,,Jason Smith,Richard Neal,R,D
Ways and Means,Health,Vern Buchanan,Lloyd Doggett,R,D
Ways and Means,Oversight,,Bill Pascrell,,D
Ways and Means,Select Revenue Measures,Mike Kelly,Mike Thompson,R,D
Ways and Means,Social Security,David Schweikert,John Larson,R,D
Ways and Means,Trade,Adrian Smith,Earl Blumenauer,R,D
Ways and Means,Worker and Family Support,Brad Wenstrup,Danny Davis,R,D
